quality dq4 dq3 dq2 dq1 dq0
1.0 949 1432 732 105 22
0.95 627 1774 502 299 38
0.9 374 1346 878 617 25
0.85 469 1704 536 450 81
0.8 986 1952 183 83 36
0.75 1218 1755 191 47 29
0.7 617 1746 760 73 44
0.65 956 1425 737 103 19
0.6 362 1267 965 615 31
0.55 838 1707 394 278 23
0.5 1407 1632 162 30 9
0.45 800 1350 1005 70 15
0.4 392 1302 958 559 29
0.35 1357 1666 131 58 28
0.3 590 2297 305 41 7
0.25 0 25 99 391 2725
0.2 0 0 0 41 3199
0.15 0 0 0 90 3150
0.1 0 0 0 0 3240
0.05 0 0 0 0 3240
